Scientific name,Extinction date 
Zosterops lacertosus,2019
Zosterops murphyi,2019
Zosterops rennellianus,2019
Zosterops samoensis,2019
Zosterops splendidus,2019
Diomedea dabbenena,2019
Ninox roseoaxillaris,2019
Crypturellus casiquiare,2019
Tachornis furcata,2019
Ducula bakeri,2019
Otidiphaps aruensis,2019
Cercococcyx montanus,2019
Arborophila cambodiana,2019
Apalis chapini,2019
Dicaeum cambodianum,2019
Estrilda nigriloris,2019
Syndactyla ucayalae,2019
Myzomela dammermani,2019
Pomarea iphis,2019
Pomarea whitneyi,2019
Cyornis stresemanni,2019
Ficedula harterti,2019
Muscicapa segregata,2019
Myiomela cambodiana,2019
Illadopsis distans,2019
Pycnonotus snouckaerti,2019
Cercomacra ferdinandi,2019
Knipolegus franciscanus,2019
Phylloscartes roquettei,2019
Pseudobulweria becki,2019
Haematopus chathamensis,2019
Arborophila davidi,2019
Arborophila tonkinensis,2019
Cyanolimnas cerverai,2019
Hypotaenidia owstoni,1987
Urocissa xanthomelana,2019
Malaconotus alius,2019
Chamaetylas choloensis,2019
Torreornis inexpectata,2019
Psittiparus margaritae,2019
Herpsilochmus stictocephalus,2019
Myrmotherula klagesi,2019
Turdus swalesi,2019
Todirostrum viridanum,2019
Xenotriccus callizonus,2019
Psilopogon chersonesus,2019
Otus enganensis,2019
Harpactes wardi,2019
Accipiter imitator,2019
Accipiter luteoschistaceus,2019
Aerodramus vulcanorum,2019
Apus bradfieldi,2019
Mirafra passerina,2019
Chloris monguilloti,2019
Grallaria capitalis,2019
Alcippe grotei,2019
Liocichla omeiensis,2019
Lichmera lombokia,2019
Platysteira laticincta,2019
Ferminia cerverai,2019
Zoothera talaseae,2019
Stigmatura bahiae,2019
Stigmatura napensis,2019
Yuhina bakeri,2019
Otus mentawi,2019
Pinguinus impennis,1852
Crossleyia tenebrosa,2019
Pipreola squamipectus,2019
Hylexetastes stresemanni,2019
Premnoplex tatei,2019
Synallaxis chinchipensis,2019
Atronanus fuliginosus,2019
Progne murphyi,2019
Locustella kashmirensis,2019
Cyornis superbus,2019
Phylloscopus whistleri,2019
Myrmotherula sunensis,2019
Diglossa venezuelensis,2019
Incaspiza watkinsi,2019
Cantorchilus griseus,2019
Hemitriccus mirandae,2019
Lophotriccus eulophotes,2019
Phylloscartes virescens,2019
Ramphotrigon fuscicauda,2019
Malacoptila semicincta,2019
Pionites xanthurus,2019
Nisaetus bartelsi,2019
Zapornia sandwichensis,1884
Hartertula flavoviridis,2019
Lalage conjuncta,2019
Habia atrimaxillaris,2019
Lonchura nevermanni,2019
Lonchura stygia,2019
Sclerurus cearensis,2019
Grallaricula lineifrons,2019
Melanopareia maranonica,2019
Philemon eichhorni,2019
Myiagra eichhorni,2019
Myiagra hebetior,2019
Chlorospingus tacarcunae,2019
Pselliophorus luteoviridis,2019
Scytalopus latrans,2019
Thamnophilus pelzelni,2019
Xenornis setifrons,2019
Pheugopedius columbianus,2019
Cichlopsis chubbi,2019
Ochthoeca piurae,2019
Zimmerius albigularis,2019
Zosterops vaughani,2019
Picumnus limae,2019
Lorius albidinucha,2019
Micropsitta meeki,2019
Nyctidromus anthonyi,2019
Atlantisia rogersi,2019
Tauraco bannermani,2019
Eremalauda eremodites,2019
Asthenes helleri,2019
Grallaria albigula,2019
Grallaricula peruviana,2019
Garrulax courtoisi,2019
Locustella davidi,2019
Madanga ruficollis,2019
Larvivora tanensis,2019
Sittiparus olivaceus,2019
Ampelornis griseiceps,2019
Dysithamnus occidentalis,2019
Nesospiza questi,2019
Nesospiza wilkinsi,2019
Sphenopsis piurae,2019
Vidua togoensis,2019
Bostrychia bocagei,2019
Leptodon forbesi,2019
Apalis bamendae,2019
Pseudocolaptes johnsoni,2019
Orochelidon flavipes,2019
Ficedula elisae,2019
Muscicapa sethsmithi,2019
Anthreptes neglectus,2019
Cinnyris loveridgei,2019
Cinnyris tsavoensis,2019
Cinnyris usambaricus,2019
Oriolus mellianus,2019
Phylloscopus claudiae,2019
Phylloscopus ogilviegranti,2019
Arizelocichla neumanni,2019
Scytalopus atratus,2019
Scytalopus caracae,2019
Scytalopus meridanus,2019
Sinosuthora ricketti,2019
Microspingus pectoralis,2019
Vidua camerunensis,2019
Vidua interjecta,2019
Vidua obtusa,2019
Hydrobates matsudairae,2019
Pterocles burchelli,2019
Glaucidium tucumanum,2019
Scolopax celebensis,2019
Penelope barbata,2019
Peltops montanus,2019
Apalis karamojae,2019
Leptasthenura xenothorax,2019
Moho bishopi,1991
Terpsiphone batesi,2019
Anthus sokokensis,2019
Poecile weigoldicus,2019
Phylloscopus forresti,2019
Batis ituriensis,2019
Thamnophilus zarumae,2019
Geokichla joiceyi,2019
Lophotriccus vitiosus,2019
Nonnula amaurocephala,2019
Capito brunneipectus,2019
Puffinus mauretanicus,2019
Ara glaucogularis,2019
Eudyptes moseleyi,2019
Strix chacoensis,2019
Setopagis maculosa,2019
Lophotis savilei,2019
Sericornis keri,2019
Aegithalos iredalei,2019
