species,description_year,extinction_year
Fundulus.majalis,1792,NA
Fundulus.notatus,1820,NA
Fundulus.nottii,1854,NA
Fundulus.olivaceus,1845,NA
Fundulus.parvipinnis,1854,NA
Fundulus.philpisteri,1963,NA
Fundulus.pulvereus,1892,NA
Fundulus.rathbuni,1889,NA
Fundulus.relictus,1988,NA
Fundulus.rubrifrons,1880,NA
Fundulus.saguanus,1948,NA
Fundulus.sciadicus,1865,NA
Fundulus.seminolis,1859,NA
Fundulus.stellifer,1877,NA
Fundulus.waccamensis,1946,NA
Fundulus.zebrinus,1883,NA
Gadus.morhua,1758,NA
Gadus.ogac,1836,NA
Galeocerdo.cuvier,1822,NA
Gambusia.affinis,1853,NA
Gambusia.alvarezi,1957,NA
Gambusia.atrora,1963,NA
Gambusia.aurata,1970,NA
Gambusia.clarkhubbsi,2003,NA
Gambusia.echeagarayi,1952,NA
Gambusia.eurystoma,1975,NA
Gambusia.gaigei,1929,NA
Gambusia.geiseri,1957,NA
Gambusia.heterochir,1957,NA
Gambusia.holbrooki,1859,NA
Gambusia.hurtadoi,1957,NA
Gambusia.krumholzi,1963,NA
Gambusia.longispinis,1962,NA
Gambusia.marshi,1962,NA
Gambusia.myersi,1925,NA
Gambusia.nobilis,1853,NA
Gambusia.panuco,1926,NA
Gambusia.regani,1926,NA
Gambusia.rhizophorae,1969,NA
Gambusia.senilis,1859,NA
Gambusia.sexradiata,1936,NA
Gambusia.speciosa,1859,NA
Gambusia.vittata,1926,NA
Gambusia.yucatana,1914,NA
Gambusia.zarskei,1999,NA
Garmanella.pulchra,1936,NA
Gasterosteus.microcephalus,1854,NA
Gasterosteus.wheatlandi,1867,NA
Gerres.cinereus,1792,NA
Gerres.oyena,1775,NA
Gila.alvordensis,1972,NA
Gila.atraria,1856,NA
Gila.bicolor,1856,NA
Gila.boraxobius,1980,NA
Gila.brevicauda,1956,NA
Gila.coerulea,1856,NA
Gila.cypha,1946,NA
Gila.ditaenia,1945,NA
Gila.elegans,1853,NA
Gila.eremica,1991,NA
Gila.intermedia,1856,NA
Gila.minacae,1902,NA
Gila.modesta,1881,NA
Gila.nigra,1875,NA
Gila.nigrescens,1856,NA
Gila.orcuttii,1890,NA
Gila.pandora,1872,NA
Gila.purpurea,1856,NA
Gila.robusta,1853,NA
Gila.seminuda,1875,NA
Gillichthys.mirabilis,1864,NA
Ginglymostoma.cirratum,1788,NA
Girardinichthys.multiradiatus,1904,NA
Girardinichthys.viviparus,1837,NA
Glossamia.gjellerupi,1929,NA
Gnatholepis.anjerensis,1851,NA
Gobiesox.fluviatilis,1960,NA
Gobiesox.mexicanus,1960,NA
Gobiesox.strumosus,1870,NA
Gobioides.broussonnetii,1800,NA
Gobioides.peruanus,1880,NA
Gobiomorus.dormitor,1800,NA
Gobiomorus.maculatus,1859,NA
Gobiomorus.polylepis,1953,NA
Gobionellus.oceanicus,1770,NA
Gobiosoma.bosc,1800,NA
